degree,career,description
BS Artificial Intelligence,Machine Learning Engineer,Build prediction systems and intelligent applications.
BS Artificial Intelligence,AI Chatbot Developer,Create assistants using LLMs and automation tools.
BS Computer Science,Full Stack Developer,Build web apps with frontend backend and databases.
BS Computer Science,Backend Developer,Create APIs and server-side systems.
BS Data Science,Data Analyst,Use data to explain business and academic problems.
BS Data Science,Business Intelligence Developer,Create dashboards and reporting systems.
BS Cyber Security,Security Analyst,Monitor systems and investigate attacks.
BS Cyber Security,Penetration Tester,Find weaknesses in apps and networks.
BS Software Engineering,Software Quality Engineer,Test software and improve reliability.
BS Software Engineering,Project Coordinator,Manage software planning and delivery.
BS Information Technology,IT Support Engineer,Maintain networks computers and user systems.
BS Information Technology,Database Assistant,Support databases and internal systems.
